Clip,TotalFrames,TotalGoodFrames,TotalFrontalImageFrames,TotalBackImageFrames,TotalFemaleFrames,TotalSelfFrames,TotalEnvirFrames,TotalBadTrackFrames,MaleID,EyeRecord,ROI,Count,PixelSize,TotalPixels,TotalPixelsWithoutHeadCrest,RelativePixelSize,LnTotalFramesImage,OtherMaleID,ClipType
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,LowerFishtail,510,129350.24,1454589.9,1453677.98,-2.4199555201454,7.68570306123455,53,Directed
04-08-13_No61_238820,8054,6451,2177,0,402,0,3872,1603,61,L,Leg,110,13503.73,1454589.9,1453677.98,-4.67951334062883,7.68570306123455,53,Directed
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,DenseFeathers,0,25956.24,1454589.9,1453677.98,-4.02606724107353,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,LowerEyeSpots,17,354602.75,1454589.9,1453677.98,-1.41148113537953,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,UpperEyeSpots,232,619179.94,1454589.9,1453677.98,-0.854083359096807,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,LowerFishtail,0,129350.24,1454589.9,1453677.98,-2.4199555201454,5.51745289646471,53,NonDirected
04-08-13_No61_81595,333,304,249,0,0,0,55,29,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,5.51745289646471,53,NonDirected
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,Body,43,6684.77,1454589.9,1453677.98,-5.38264747962988,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,DenseFeathers,35,25956.24,1454589.9,1453677.98,-4.02606724107353,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,LowerEyeSpots,216,354602.75,1454589.9,1453677.98,-1.41148113537953,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,UpperEyeSpots,36,619179.94,1454589.9,1453677.98,-0.854083359096807,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,LowerFishtail,107,129350.24,1454589.9,1453677.98,-2.4199555201454,6.07993319509559,53,Directed
04-08-13_No61_87538,6714,4152,437,0,71,0,3644,2562,61,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,6.07993319509559,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,HeadCrest,24,911.92,1454589.9,1453677.98,-7.37468229626033,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,DenseFeathers,0,25956.24,1454589.9,1453677.98,-4.02606724107353,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,LowerEyeSpots,53,354602.75,1454589.9,1453677.98,-1.41148113537953,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,UpperEyeSpots,162,619179.94,1454589.9,1453677.98,-0.854083359096807,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,UpperFishtail,0,300350.37,1454589.9,1453677.98,-1.57752959101518,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,LowerFishtail,0,129350.24,1454589.9,1453677.98,-2.4199555201454,5.59471137960184,53,Directed
04-08-13_No61_95279,4795,3530,269,0,86,0,3175,1265,61,L,Leg,30,13503.73,1454589.9,1453677.98,-4.67951334062883,5.59471137960184,53,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,DenseFeathers,0,25956.24,1454589.9,1453677.98,-4.02606724107353,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,LowerEyeSpots,0,354602.75,1454589.9,1453677.98,-1.41148113537953,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,UpperEyeSpots,30,619179.94,1454589.9,1453677.98,-0.854083359096807,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,UpperFishtail,214,300350.37,1454589.9,1453677.98,-1.57752959101518,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,LowerFishtail,64,129350.24,1454589.9,1453677.98,-2.4199555201454,5.73009978297357,61,Directed
04-08-13_No75_113665,1097,745,308,0,0,0,437,352,75,L,Leg,0,13503.73,1454589.9,1453677.98,-4.67951334062883,5.73009978297357,61,Directed
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,Body,0,6684.77,1454589.9,1453677.98,-5.38264747962988,3.2188758248682,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,HeadCrest,0,911.92,1454589.9,1453677.98,-7.37468229626033,3.2188758248682,61,NonDirected
04-08-13_No75_122899,25,25,25,0,0,0,0,0,75,L,Scales,0,4049.94,1454589.9,1453677.98,-5.88377721801282,3.2188758248682,61,NonDirected
